Series_reference,Period,Data_value,Status,Units,Magnitude,Subject,Periodicity,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
PTSA.SA02HS2PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02HS2PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02HS2PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02HS2PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02HS3ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02HS3NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02HS3NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02HS3NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02HS3PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02HS3PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02HS3PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02HS3PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02HS4ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02HS4NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02HS4NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02HS4NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02HS4PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02HS4PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02HS4PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02HS4PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02HS5ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02HS5NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02HS5NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02HS5NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02HS6ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6ND,2020.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6ND,2021.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NJ,2020.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NJ,2021.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NM,2021.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NM,2022.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NS,2020.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS6NS,2021.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02HS7ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA02HS7NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA02HS7NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA02HS7NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA02NB1ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA02NB1NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA02NB1NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA02NB1NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA02NB1PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NB1PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NB1PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NB1PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NB2ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NB2NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NB2NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NB2NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NB2PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NB2PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NB2PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NB2PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NB3ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NB3NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NB3NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NB3NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NB3PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NB3PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NB3PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NB3PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NB4ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA02NB4NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA02NB4NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA02NB4NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA02NB4PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NB4PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NB4PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NB4PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NB5ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA02NB5NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA02NB5NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA02NB5NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA02NB6ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6ND,2018.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6ND,2019.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6ND,2020.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6ND,2021.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NJ,2019.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NJ,2020.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NJ,2021.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NM,2019.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NM,2020.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NM,2021.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NM,2022.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NS,2018.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NS,2019.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NS,2020.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB6NS,2021.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA02NB7ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA02NB7NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA02NB7NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA02NB7NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA02NS1ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA02NS1NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA02NS1NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA02NS1NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA02NS1PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NS1PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NS1PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NS1PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA02NS2ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NS2NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NS2NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NS2NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA02NS2PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NS2PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NS2PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NS2PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA02NS3ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NS3NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NS3NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NS3NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA02NS3PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NS3PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NS3PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NS3PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA02NS4ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02NS4NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02NS4NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02NS4NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Number of transfers
PTSA.SA02NS4PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NS4PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NS4PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NS4PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA02NS5ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02NS5NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02NS5NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02NS5NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA02NS6ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6ND,2018.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6ND,2019.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6ND,2020.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6ND,2021.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NJ,2019.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NJ,2020.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NJ,2021.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NM,2019.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NM,2020.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NM,2021.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NM,2022.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA02NS6NS,2018.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Auckland Region,No home involved,Sellers,Affiliation unknown,Number of transfers
